Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 127.0.0.0,,,13-08-2024 19:16:31,13-08-2024 19:16:31,0.000s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage/Page_Demo Web Shop/a_Books""), ""Books"")",Chrome 127.0.0.0,,,13-08-2024 19:16:31,13-08-2024 19:16:31,0.299s,PASSED
"log.logInfo(""Books Product Category is present"")",Chrome 127.0.0.0,,,13-08-2024 19:16:31,13-08-2024 19:16:31,0.000s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage/Page_Demo Web Shop. Books/a_Computers""), ""Computers"")",Chrome 127.0.0.0,,,13-08-2024 19:16:31,13-08-2024 19:16:32,0.266s,PASSED
"log.logInfo(""Computers Product Category is present"")",Chrome 127.0.0.0,,,13-08-2024 19:16:32,13-08-2024 19:16:32,0.016s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage/Page_Demo Web Shop. Computers/a_Electronics""), ""Electronics"")",Chrome 127.0.0.0,,,13-08-2024 19:16:32,13-08-2024 19:16:32,0.298s,PASSED
"log.logInfo(""Electronics Product Category is present"")",Chrome 127.0.0.0,,,13-08-2024 19:16:32,13-08-2024 19:16:32,0.000s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage/Page_Demo Web Shop. Electronics/a_Apparel  Shoes""), ""Apparel & Shoes"")",Chrome 127.0.0.0,,,13-08-2024 19:16:32,13-08-2024 19:16:32,0.301s,PASSED
"log.logInfo(""Apparel & Shoes Product Category is present"")",Chrome 127.0.0.0,,,13-08-2024 19:16:32,13-08-2024 19:16:32,0.002s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage/Page_Demo Web Shop. Apparel  Shoes/a_Digital downloads""), ""Digital downloads"")",Chrome 127.0.0.0,,,13-08-2024 19:16:32,13-08-2024 19:16:32,0.288s,PASSED
"log.logInfo(""Digital downloads Product Category is present"")",Chrome 127.0.0.0,,,13-08-2024 19:16:32,13-08-2024 19:16:32,0.001s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage/Page_Demo Web Shop. Digital downloads/a_Jewelry""), ""Jewelry"")",Chrome 127.0.0.0,,,13-08-2024 19:16:32,13-08-2024 19:16:33,0.292s,PASSED
"log.logInfo(""Jewelry Product Category is present"")",Chrome 127.0.0.0,,,13-08-2024 19:16:33,13-08-2024 19:16:33,0.001s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage/Page_Demo Web Shop. Jewelry/a_Gift Cards""), ""Gift Cards"")",Chrome 127.0.0.0,,,13-08-2024 19:16:33,13-08-2024 19:16:33,0.299s,PASSED
"log.logInfo(""Gift Cards Product Category is present"")",Chrome 127.0.0.0,,,13-08-2024 19:16:33,13-08-2024 19:16:33,0.001s,PASSED
takeScreenshot(),Chrome 127.0.0.0,,,13-08-2024 19:16:33,13-08-2024 19:16:33,0.418s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,13-08-2024 19:16:33,13-08-2024 19:16:34,0.220s,PASSED
Start listener action : sampleAfterTestCase,Chrome 127.0.0.0,,,13-08-2024 19:16:34,13-08-2024 19:16:34,0.001s,PASSED
,,,,,,,
Test Cases/Shopping Cart/TC005_Verify that user is able to add a product to the shopping cart,Chrome 127.0.0.0,,,13-08-2024 19:16:34,13-08-2024 19:16:48,14.193s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 127.0.0.0,,,13-08-2024 19:16:34,13-08-2024 19:16:34,0.002s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,13-08-2024 19:16:34,13-08-2024 19:16:34,0.742s,PASSED
navigateToUrl(appURL),Chrome 127.0.0.0,,,13-08-2024 19:16:34,13-08-2024 19:16:37,2.443s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,13-08-2024 19:16:37,13-08-2024 19:16:37,0.145s,PASSED
"click(findTestObject(""Object Repository/Shopping Cart/Page_Demo Web Shop/a_Log in""))",Chrome 127.0.0.0,,,13-08-2024 19:16:37,13-08-2024 19:16:38,0.963s,PASSED
"setText(findTestObject(""Object Repository/Shopping Cart/Page_Demo Web Shop. Login/input_Email_Email""), userID)",Chrome 127.0.0.0,,,13-08-2024 19:16:38,13-08-2024 19:16:39,0.691s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Shopping Cart/Page_Demo Web Shop. Login/input_Password_Password""), ""M2QPTmdpEDqAc7bqT3oqOA=="")",Chrome 127.0.0.0,,,13-08-2024 19:16:39,13-08-2024 19:16:39,0.365s,PASSED
"click(findTestObject(""Object Repository/Shopping Cart/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 127.0.0.0,,,13-08-2024 19:16:39,13-08-2024 19:16:41,1.560s,PASSED
"click(findTestObject(""Shopping Cart/Page_Demo Web Shop/a_Computers""))",Chrome 127.0.0.0,,,13-08-2024 19:16:41,13-08-2024 19:16:42,1.583s,PASSED
"click(findTestObject(""Shopping Cart/Cart/Page_Demo Web Shop. Computers/div_Desktops""))",Chrome 127.0.0.0,,,13-08-2024 19:16:42,13-08-2024 19:16:43,0.917s,PASSED
"scrollToPosition(0, 300)",Chrome 127.0.0.0,,,13-08-2024 19:16:43,13-08-2024 19:16:43,0.039s,PASSED
"click(findTestObject(""Shopping Cart/Product/AddToCart_btn""))",Chrome 127.0.0.0,,,13-08-2024 19:16:43,13-08-2024 19:16:44,0.362s,PASSED
"scrollToPosition(0, 300)",Chrome 127.0.0.0,,,13-08-2024 19:16:44,13-08-2024 19:16:44,0.013s,PASSED
"click(findTestObject(""Shopping Cart/Page_Demo Web Shop. Build your own cheap computer/input_Qty_add-to-cart-button-72""))",Chrome 127.0.0.0,,,13-08-2024 19:16:44,13-08-2024 19:16:46,2.338s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Shopping Cart/Page_Demo Web Shop. Build your own cheap computer/p_The product has been added to your shopping cart""), 0)",Chrome 127.0.0.0,,,13-08-2024 19:16:46,13-08-2024 19:16:47,0.923s,PASSED
"message = getText(findTestObject(""Object Repository/Shopping Cart/Page_Demo Web Shop. Build your own cheap computer/p_The product has been added to your shopping cart""))",Chrome 127.0.0.0,,,13-08-2024 19:16:47,13-08-2024 19:16:47,0.300s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 127.0.0.0,,,13-08-2024 19:16:47,13-08-2024 19:16:47,0.003s,PASSED
log.logInfo(message),Chrome 127.0.0.0,,,13-08-2024 19:16:47,13-08-2024 19:16:47,0.000s,PASSED
takeScreenshot(),Chrome 127.0.0.0,,,13-08-2024 19:16:47,13-08-2024 19:16:48,0.482s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,13-08-2024 19:16:48,13-08-2024 19:16:48,0.251s,PASSED
Start listener action : sampleAfterTestCase,Chrome 127.0.0.0,,,13-08-2024 19:16:48,13-08-2024 19:16:48,0.000s,PASSED
,,,,,,,
Test Cases/Product Checkout/TC006_Verify that user can complete the checkout process starting from the cart,Chrome 127.0.0.0,,,13-08-2024 19:16:48,13-08-2024 19:17:06,18.068s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 127.0.0.0,,,13-08-2024 19:16:48,13-08-2024 19:16:48,0.000s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,13-08-2024 19:16:48,13-08-2024 19:16:49,0.781s,PASSED
navigateToUrl(appURL),Chrome 127.0.0.0,,,13-08-2024 19:16:49,13-08-2024 19:16:52,2.851s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,13-08-2024 19:16:52,13-08-2024 19:16:52,0.090s,PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop/a_Log in""))",Chrome 127.0.0.0,,,13-08-2024 19:16:52,13-08-2024 19:16:53,0.941s,PASSED
"setText(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop. Login/input_Email_Email""), userID)",Chrome 127.0.0.0,,,13-08-2024 19:16:53,13-08-2024 19:16:54,0.735s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop. Login/input_Password_Password""), ""M2QPTmdpEDqAc7bqT3oqOA=="")",Chrome 127.0.0.0,,,13-08-2024 19:16:54,13-08-2024 19:16:54,0.384s,PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 127.0.0.0,,,13-08-2024 19:16:54,13-08-2024 19:16:56,1.666s,PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop/span_Shopping cart""))",Chrome 127.0.0.0,,,13-08-2024 19:16:56,13-08-2024 19:16:57,1.276s,PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop. Shopping Cart/input_Remove_removefromcart""))",Chrome 127.0.0.0,,,13-08-2024 19:16:57,13-08-2024 19:16:57,0.372s,PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop. Shopping Cart/input_I agree with the terms of service and_f529a0""))",Chrome 127.0.0.0,,,13-08-2024 19:16:57,13-08-2024 19:16:58,0.316s,PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop. Shopping Cart/button_Checkout""))",Chrome 127.0.0.0,,,13-08-2024 19:16:58,13-08-2024 19:16:59,1.480s,PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop. Shopping Cart/Continue_btn""))",Chrome 127.0.0.0,,,13-08-2024 19:16:59,13-08-2024 19:16:59,0.355s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop. Shopping Cart/Continue_btn""), 2)",Chrome 127.0.0.0,,,13-08-2024 19:16:59,13-08-2024 19:17:00,0.953s,PASSED
"click(findTestObject(""Object Repository/Checkout/Pickup/Page_Demo Web Shop. Checkout/input_Fax number_PickUpInStore""))",Chrome 127.0.0.0,,,13-08-2024 19:17:00,13-08-2024 19:17:01,0.335s,PASSED
"click(findTestObject(""Object Repository/Checkout/ContinueBtn/Page_Demo Web Shop. Checkout/input__button-1 new-address-next-step-button""))",Chrome 127.0.0.0,,,13-08-2024 19:17:01,13-08-2024 19:17:01,0.458s,PASSED
"click(findTestObject(""Object Repository/Checkout/ContinueBtn/Page_Demo Web Shop. Checkout/input__button-1 payment-method-next-step-button""))",Chrome 127.0.0.0,,,13-08-2024 19:17:01,13-08-2024 19:17:02,0.744s,PASSED
"click(findTestObject(""Object Repository/Checkout/ContinueBtn/Page_Demo Web Shop. Checkout/input__button-1 payment-info-next-step-button""))",Chrome 127.0.0.0,,,13-08-2024 19:17:02,13-08-2024 19:17:03,0.738s,PASSED
"click(findTestObject(""Object Repository/Checkout/ContinueBtn/Page_Demo Web Shop. Checkout/input__button-1 confirm-order-next-step-button""))",Chrome 127.0.0.0,,,13-08-2024 19:17:03,13-08-2024 19:17:03,0.692s,PASSED
"click(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop. Checkout/div_Your order has been successfully processed""))",Chrome 127.0.0.0,,,13-08-2024 19:17:03,13-08-2024 19:17:05,1.300s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Checkout/Page_Demo Web Shop. Checkout/strong_Your order has been successfully processed""), 0)",Chrome 127.0.0.0,,,13-08-2024 19:17:05,13-08-2024 19:17:05,0.356s,PASSED
"orderNum = getText(findTestObject(""Object Repository/Checkout/ContinueBtn/Page_Demo Web Shop. Checkout/OrderNumber_text""))",Chrome 127.0.0.0,,,13-08-2024 19:17:05,13-08-2024 19:17:05,0.347s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 127.0.0.0,,,13-08-2024 19:17:05,13-08-2024 19:17:05,0.000s,PASSED
log.logInfo(orderNum),Chrome 127.0.0.0,,,13-08-2024 19:17:05,13-08-2024 19:17:05,0.000s,PASSED
takeScreenshot(),Chrome 127.0.0.0,,,13-08-2024 19:17:05,13-08-2024 19:17:06,0.362s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,13-08-2024 19:17:06,13-08-2024 19:17:06,0.279s,PASSED
Start listener action : sampleAfterTestCase,Chrome 127.0.0.0,,,13-08-2024 19:17:06,13-08-2024 19:17:06,0.000s,PASSED
